Domain,Score,DMARC,Age,Spamhaus,Talos,VT Clean,Abuse Score
msnbc.com,82,none,30.5,True,unknown,True,
continental.com,74,none,28.5,True,unknown,,
longisland.com,74,none,29.7,True,unknown,,
ubc.ca,74,none,25.7,True,unknown,,
square-enix.com,74,none,23.6,True,unknown,,
wildapricot.org,74,none,20.2,True,unknown,,
pantheonsite.io,74,none,10.4,True,unknown,,
linux.com,74,none,32,True,unknown,,
daad.de,74,none,,True,unknown,,
rtl.de,74,none,,True,unknown,,
ecfr.gov,74,none,14.4,True,unknown,,
hetzner.de,74,none,,True,unknown,,
cpan.org,74,none,28.4,True,unknown,,
canada.com,74,none,29.7,True,unknown,,
ctan.org,74,none,28.3,True,unknown,,
ilsole24ore.com,72,none,27.4,True,unknown,,
webd.pl,72,none,24.3,True,unknown,,
zrzutka.pl,72,none,17.9,True,unknown,,
uw.edu.pl,72,none,31.5,True,unknown,,
lodz.pl,72,none,31.5,True,unknown,,
jd.com,70,none,33.7,True,unknown,,
laracasts.com,70,none,13.3,True,unknown,,
eastmoney.com,70,none,23.8,True,unknown,,
swarthmore.edu,70,none,39,True,unknown,,
ameblo.jp,70,none,21.9,True,unknown,,
cert.org,70,none,34.5,True,unknown,,
eurekalert.org,70,none,30.4,True,unknown,,
wordstream.com,70,none,23,True,unknown,,
computer.org,70,none,32.9,True,unknown,,
estadao.com.br,70,none,28.9,True,unknown,,
tenor.com,70,none,30.9,True,unknown,,
premiumtimesng.com,70,none,14.8,True,unknown,,
readwrite.com,70,none,25.2,True,unknown,,
tv-tokyo.co.jp,70,none,31.1,True,unknown,,
nd.gov,70,none,25.6,True,unknown,,
gotomeeting.com,70,none,23,True,unknown,,
liebertpub.com,70,none,29.4,True,unknown,,
speakerdeck.com,70,none,16.1,True,unknown,,
mbs.jp,70,none,25.2,True,unknown,,
gouv.fr,70,none,31.5,True,unknown,,
trenitalia.com,70,none,26.3,True,unknown,,
fivethirtyeight.com,70,none,18.3,True,unknown,,
easyspace.com,70,none,28.9,True,unknown,,
lycos.com,70,none,31.2,True,unknown,,
wbur.org,70,none,30.2,True,unknown,,
gandi.net,70,none,27.1,True,unknown,,
imo.org,70,none,30.9,True,unknown,,
militarytimes.com,70,none,25,True,unknown,,
ecowatch.com,70,none,27.5,True,unknown,,
maryville.edu,70,none,32,True,unknown,,
lg.com,70,none,31,True,unknown,,
webmin.com,70,none,28.8,True,unknown,,
tass.ru,70,none,17.2,True,unknown,,
swoogo.com,70,none,13.3,True,unknown,,
newrepublic.com,70,none,23.5,True,unknown,,
fairmont.com,70,none,30.8,True,unknown,,
allaboutcookies.org,70,none,18,True,unknown,,
urbandictionary.com,70,none,24.7,True,unknown,,
thoughtco.com,70,none,13.4,True,unknown,,
tabelog.com,70,none,21.4,True,unknown,,
tistory.com,70,none,20.7,True,unknown,,
online.fr,70,none,17.5,True,unknown,,
mhlw.go.jp,70,none,25.6,True,unknown,,
france.tv,70,none,16.1,True,unknown,,
stltoday.com,70,none,25.9,True,unknown,,
qodeinteractive.com,70,none,15,True,unknown,,
umass.edu,70,none,40.2,True,unknown,,
toasttab.com,70,none,14.1,True,unknown,,
asp.net,70,none,30.5,True,unknown,,
tldp.org,70,none,24.3,True,unknown,,
pastebin.com,70,none,23.8,True,unknown,,
amnesty.org,70,none,33.6,True,unknown,,
mysql.com,70,none,27.4,True,unknown,,
loc.gov,70,none,28.7,True,unknown,,
hellomagazine.com,70,none,28.7,True,unknown,,
unctad.org,70,none,31.3,True,unknown,,
openldap.org,70,none,27.8,True,unknown,,
uwm.edu,70,none,37,True,unknown,,
discovermagazine.com,70,none,29,True,unknown,,
bluehost.com,70,none,23.6,True,unknown,,
osmfoundation.org,70,none,18.8,True,unknown,,
brown.edu,70,none,39.8,True,unknown,,
dailykos.com,70,none,24,True,unknown,,
hetzner.com,70,none,29.4,True,unknown,,
networkrail.co.uk,70,none,24.4,True,unknown,,
kia.com,70,none,29.5,True,unknown,,
scholastic.com,70,none,32.7,True,unknown,,
futura-sciences.com,70,none,25.5,True,unknown,,
jreast.co.jp,70,none,30.8,True,unknown,,
apkpure.com,70,none,11.6,True,unknown,,
jamsadr.com,70,none,26.8,True,unknown,,
cityu.edu.hk,70,none,31.9,True,unknown,,
joins.com,70,none,26.5,True,unknown,,
qiita.com,70,none,14.9,True,unknown,,
freedomhouse.org,70,none,30.1,True,unknown,,
jsfiddle.net,70,none,16.6,True,unknown,,
contently.com,70,none,16.1,True,unknown,,
elegantthemes.com,70,none,17.7,True,unknown,,
gnupg.org,70,none,27.5,True,unknown,,
handelsblatt.com,70,none,30.2,True,unknown,,
graphene-theme.com,70,none,14.3,True,unknown,,
dreamhost.com,70,none,28.7,True,unknown,,
material.io,70,none,12.7,True,unknown,,
ithaca.edu,70,none,36,True,unknown,,
grammy.com,70,none,31.3,True,unknown,,
etymonline.com,70,none,23.4,True,unknown,,
festival-cannes.com,70,none,27.1,True,unknown,,
meti.go.jp,70,none,25.7,True,unknown,,
emojipedia.org,70,none,12.9,True,unknown,,
outdooractive.com,70,none,22.6,True,unknown,,
le.ac.uk,70,none,29.9,True,unknown,,
dur.ac.uk,70,none,29.9,True,unknown,,
poemhunter.com,70,none,23.5,True,unknown,,
heavy.com,70,none,27.7,True,unknown,,
ucar.edu,70,none,39.7,True,unknown,,
metrika.yandex.ru,70,none,28.7,True,unknown,,
smzdm.com,70,none,16,True,unknown,,
niemanlab.org,70,none,17.9,True,unknown,,
jci.org,70,none,30.2,True,unknown,,
larepublica.co,70,none,16.3,True,unknown,,
spokesman.com,70,none,31.4,True,unknown,,
wvu.edu,70,none,34.1,True,unknown,,
macrotrends.net,70,none,13.2,True,unknown,,
thecrimson.com,70,none,29,True,unknown,,
queensu.ca,70,none,25.7,True,unknown,,
studiopress.com,70,none,24.2,True,unknown,,
msu.edu,70,none,39.1,True,unknown,,
thimpress.com,70,none,11.8,True,unknown,,
xinnet.com,70,none,26.5,True,unknown,,
nbcsports.com,70,none,30.3,True,unknown,,
cato.org,70,none,31.3,True,unknown,,
sxsw.com,70,none,30.9,True,unknown,,
thenounproject.com,70,none,17,True,unknown,,
prtimes.jp,70,none,19.4,True,unknown,,
statnews.com,70,none,23,True,unknown,,
dailymotion.com,70,none,21.3,True,unknown,,
paramount.com,70,none,32.6,True,unknown,,
concordia.ca,70,none,25.7,True,unknown,,
explore.org,70,none,24.1,True,unknown,,
webofscience.com,70,none,29.2,True,unknown,,
reviewjournal.com,70,none,27.4,True,unknown,,
toronto.ca,70,none,24.2,True,unknown,,
taylorandfrancis.com,70,none,28.4,True,unknown,,
canada.ca,70,none,23.6,True,unknown,,
secureserver.net,70,none,28.2,True,unknown,,
videolan.org,70,none,26.4,True,unknown,,
alberta.ca,70,none,22.2,True,unknown,,
alistapart.com,70,none,28.1,True,unknown,,
telegram.com,70,none,30.9,True,unknown,,
rs.gov.br,70,none,29.8,True,unknown,,
photobucket.com,70,none,23.1,True,unknown,,
ntv.ru,70,none,29.4,True,unknown,,
cbpp.org,70,none,30.9,True,unknown,,
yenisafak.com,70,none,28.2,True,unknown,,
disney.com,70,none,36.2,True,unknown,,
techtimes.com,70,none,26.5,True,unknown,,
nginx.com,70,none,21.5,True,unknown,,
accor.com,70,none,28.3,True,unknown,,
alamy.com,70,none,26.7,True,unknown,,
coachingfederation.org,70,none,22.5,True,unknown,,
azure.com,70,none,31.6,True,unknown,,
helsinki.fi,70,none,35.5,True,unknown,,
tucson.com,70,none,31.5,True,unknown,,
khan.co.kr,70,none,30.1,True,unknown,,
fbcdn.net,70,none,19.1,True,unknown,,
afdb.org,70,none,32.1,True,unknown,,
tufts.edu,70,none,39,True,unknown,,
ticketweb.com,70,none,31.2,True,unknown,,
fc2.com,70,none,27.1,True,unknown,,
deadline.com,70,none,30.8,True,unknown,,
camcom.it,70,none,30.4,True,unknown,,
detroitnews.com,70,none,28.7,True,unknown,,
unina.it,70,none,30.4,True,unknown,,
bancaditalia.it,70,none,28.3,True,unknown,,
gohawaii.com,70,none,29.5,True,unknown,,
weworkremotely.com,70,none,12.7,True,unknown,,
9news.com,70,none,30.6,True,unknown,,
mapion.co.jp,70,none,29.6,True,unknown,,
gameforge.com,70,none,28.8,True,unknown,,
sherdog.com,70,none,26.8,True,unknown,,
afb.org,70,none,32.2,True,unknown,,
wpfr.net,70,none,16.4,True,unknown,,
bit.ly,70,none,18.1,True,unknown,,
972mag.com,70,none,15.8,True,unknown,,
transfermarkt.com,70,none,25.5,True,unknown,,
uwaterloo.ca,70,none,25.7,True,unknown,,
xtgem.com,70,none,19.6,True,unknown,,
inrs.fr,70,none,31.5,True,unknown,,
wsws.org,70,none,28.4,True,unknown,,
biblehub.com,70,none,22.1,True,unknown,,
home-assistant.io,70,none,11.5,True,unknown,,
unam.mx,70,none,37.2,True,unknown,,
punchng.com,70,none,23.2,True,unknown,,
tcu.edu,70,none,36,True,unknown,,
mentalhealth.com,70,none,31,True,unknown,,
mentalhealth.org.uk,70,none,29.9,True,unknown,,
umsl.edu,70,none,36.7,True,unknown,,
bitly.com,70,none,22.6,True,unknown,,
awwwards.com,70,none,15.7,True,unknown,,
ntv.co.jp,70,none,13.7,True,unknown,,
ala.org,70,none,32.4,True,unknown,,
fontspace.com,70,none,20.7,True,unknown,,
macstories.net,70,none,17.1,True,unknown,,
dothome.co.kr,70,none,22.3,True,unknown,,
gxzf.gov.cn,70,none,28.2,True,unknown,,
capcut.com,70,none,29.2,True,unknown,,
postgresql.org,70,none,29.7,True,unknown,,
xkcd.com,70,none,23.4,True,unknown,,
electrek.co,70,none,12.7,True,unknown,,
cbc.ca,70,none,25.7,True,unknown,,
afternic.com,70,none,27.3,True,unknown,,
skool.com,70,none,29.3,True,unknown,,
lansingstatejournal.com,70,none,27.9,True,unknown,,
maxim.com,70,none,28.5,True,unknown,,
cntd.ru,70,none,21,True,unknown,,
riseup.net,70,none,26.2,True,unknown,,
premierinn.com,70,none,22.1,True,unknown,,
psu.edu,70,none,39.9,True,unknown,,
vestacp.com,70,none,15.9,True,unknown,,
kyivpost.com,70,none,26.5,True,unknown,,
venturebeat.com,70,none,21.3,True,unknown,,
sina.com,70,none,27.8,True,unknown,,
hwg.org,70,none,30.5,True,unknown,,
ens.fr,70,none,31.5,True,unknown,,
scene7.com,70,none,26,True,unknown,,
grigorik.com,70,none,22.3,True,unknown,,
apache.org,70,none,31.2,True,unknown,,
foodnavigator.com,70,none,26.9,True,unknown,,
exprealty.com,70,none,16.9,True,unknown,,
roll20.net,70,none,14.2,True,unknown,,
wish.org,70,none,31.5,True,unknown,,
travelandleisure.com,70,none,28.8,True,unknown,,
archive.org,70,none,30.5,True,unknown,,
sudouest.fr,70,none,17.4,True,unknown,,
tv5monde.com,70,none,25.1,True,unknown,,
gob.cl,70,none,29.5,True,unknown,,
artron.net,70,none,27.2,True,unknown,,
christianlouboutin.com,70,none,19.6,True,unknown,,
brennancenter.org,70,none,28,True,unknown,,
betanews.com,70,none,28,True,unknown,,
carleton.ca,70,none,25.7,True,unknown,,
mainichi.co.jp,70,none,31.1,True,unknown,,
jamesclear.com,70,none,16.8,True,unknown,,
caltech.edu,70,none,40.4,True,unknown,,
ic.ac.uk,70,none,29.9,True,unknown,,
ladbible.com,70,none,14.9,True,unknown,,
